child_name,filename,child_age_months,child_age_days,chi_total_words,chi_deictic_count,chi_deictic_freq_per_1k,cds_total_words,cds_deictic_count,cds_deictic_freq_per_1k,deictic_contexts,corpus,language
Emma,030907.cha,45.2299794661191,1376,1898,10,5.268703898840885,2887,16,5.542085209560097,"{'CHI': [('now', 'now I hafta put it here , and now . \x15'), ('now', 'now I hafta put it here , and now . \x15'), ('first', 'you hafta pay first . \x15'), ('soon', 'he better die soon . \x15'), ('today', 'today ! \x15'), ('first', 'first birthday . \x15'), ('present', 'and for your present is . \x15'), ('present', 'someone got your birthday present ! \x15'), ('always', 'yeah , that cat always sits on my baby . \x15'), ('now', 'and now , &-uh . \x15')], 'CDS': [('soon', ""yeah , they'll learn soon enough . \x15""), ('today', ""that's very popular today ! \x15""), ('today', '&=gasps I am very thirsty today . \x15'), ('today', 'today ? \x15'), ('present', 'can I have the kitty cat for my birthday present ? \x15'), ('now', 'now , what can you do ? \x15'), ('while', ""well , we'll let the baby monster play with it for a little while . \x15""), ('now', 'can I have my chocolate milk now ? \x15'), ('now', 'are you going in the car now , or are you just gonna walk home ? \x15'), ('while', 'you know , that happened to me a while back . \x15'), ('after', 'did you have dry clothes to put on after that ? \x15'), ('after that', 'did you have dry clothes to put on after that ? \x15'), ('now', 'now you have the hiccups ? \x15'), ('now', 'do you feel better now ? \x15'), ('first', 'except the first part . \x15'), ('first', 'the first part of it is . \x15')]}",Weist,en
Emma,030418.cha,40.591375770020534,1235,674,7,10.385756676557863,1225,9,7.346938775510203,"{'CHI': [('after', 'after you get all them out .'), ('after', 'after you get all them out .'), ('yesterday', 'because I was attacking him yesterday .'), ('first', ""have , you have ta get on Emma's hands first , and then ride on Emma .""), ('after', 'after you go to the lip doctor .'), ('now', ""now you help Ernie talk and I'll help Big Bird .""), ('first', 'not first are you Big .')], 'CDS': [('now', 'now , have you ever watched Sesame Street ?'), ('after', 'after you .'), ('today', 'so , Emma , how are you , how , or Big Bird , how are you today ?'), ('always', ""oh , he's , he's always sleeping .""), ('today', 'are you a bird today ?'), ('now', 'do you needta go to the dentist now too ?'), ('while', 'what are you doing while I go to the lip doctor ?'), ('now', ""oh no , I'm really the lip doctor now !""), ('now', 'now who , what doctor do you hafta go to ?')]}",Weist,en
Emma,020818.cha,32.591375770020534,992,970,4,4.123711340206186,1988,9,4.527162977867204,"{'CHI': [('present', 'present from my mom ? \x15'), ('now', ""where's the spider now ? \x15""), ('now', 'now , red light be next . \x15'), ('now', 'put some glue in now . \x15')], 'CDS': [('present', 'was it a present ? \x15'), ('now', ""now is that an eyebrow , what is that you're painting ? \x15""), ('first', 'should we paint Emma first , should we paint you first ? \x15'), ('first', 'should we paint Emma first , should we paint you first ? \x15'), ('now', 'all right , well we have Emma now , which is good . \x15'), ('first', ""all right , let's do the red light first . \x15""), ('now', 'now , do we need a cord for you ? \x15'), ('now', ""I'm gonna make your cord now . \x15""), ('now', ""those are , those , now , Gavin said those aren't really dinosaurs , didn't he ? \x15"")]}",Weist,en
Emma,030003.cha,36.09856262833676,1098,1460,3,2.054794520547945,2231,13,5.8269834155087405,"{'CHI': [('first', ""they're all , one is goin first see horsie . \x15""), ('past', 'that was , let me go past you horsie . \x15'), ('past', 'I just goed past you . \x15')], 'CDS': [('morning', 'good morning Emma . \x15'), ('morning', 'good morning little horsie . \x15'), ('today', 'what are you gonna do today horsie ? \x15'), ('past', 'all right , you may go past me . \x15'), ('past', 'where are you going on your way past me ? \x15'), ('now', ""now we'll hafta figure out how to make it into a blanket , this wool . \x15""), ('now', ""now we'll pull it tight and weave it into a blanket . \x15""), ('night', 'or if it gets very cold at night , you might wanna sleep with it . \x15'), ('now', ""you know sheep , you don't have a_lot_of wool left on you now , are you sure you're not gonna be cold ? \x15""), ('now', ""oh , now that's what we need . \x15""), ('now', 'now ? \x15'), ('now', 'where am I sposta drink now , Mister_Dog ? \x15'), ('now', 'do you know that your little watering trough is in the very deep , green water right now ? \x15')]}",Weist,en
Emma,021116.cha,35.525667351129364,1081,1379,6,4.350978970268311,2169,7,3.2272936837252186,"{'CHI': [('now', ""she's very high now . \x15""), ('now', ""now I'm going to go down the slide . \x15""), ('now', ""now they're eatin crayons . \x15""), ('now', ""now I'm gonna go in the car , and drive away , and they're not gonna see them again , anymore . \x15""), ('now', 'now I need a diaper change ! \x15'), ('now', 'now she can . \x15')], 'CDS': [('now', 'all right , now what are you doing here ? \x15'), ('before', 'so the lion was so happy that we gave him chicken nuggets that he came with us through the forest and got us all the way through the forest , all those people , before the rain started . \x15'), ('now', 'eating more now , what are they eating ? \x15'), ('a long time', 'I thought you learned to sit on the potty a long time ago . \x15'), ('now', ""no , he he's blind now , isn't he ? \x15""), ('now', 'oh , there you are , I smell you now . \x15'), ('a long time', 'that lion has stayed for a long time . \x15')]}",Weist,en
Emma,021000.cha,34.0,1034,903,8,8.859357696566999,1047,5,4.7755491881566385,"{'CHI': [('while', ""while you're waitin , you can go in the car !""), ('now', 'now the horsie can get in .'), ('after', 'after I put it back together woman , and then you can play .'), ('now', 'now you can go through .'), ('now', 'now knock it over .'), ('before', ""and I'll get other stuff out before we put the other stuff in .""), ('now', 'now you can put the egg in the oven .'), ('first', 'peanut butter first .')], 'CDS': [('now', 'now you want something to eat ?'), ('now', 'well , can I get on you now ?'), ('now', 'now the horse can get in .'), ('now', ""oh , now they're friends ?""), ('first', 'first peanut butter , then eggs ?')]}",Weist,en
Emma,040321.cha,51.68993839835729,1573,1562,11,7.042253521126761,2615,23,8.795411089866157,"{'CHI': [('while', ""while I'm gone ? \x15""), ('now', 'no asking now , ask later . \x15'), ('tomorrow', 'can you play some instruments tomorrow , guys ? \x15'), ('tomorrow', 'will you play tomorrow ? \x15'), ('tomorrow', '&-um you can do it tomorrow . \x15'), ('today', 'but today is your birthday . \x15'), ('today', ""so , you can't do it today . \x15""), ('tomorrow', 'tomorrow maybe . \x15'), ('today', 'no , today . \x15'), ('today', ""it's today . \x15""), ('morning', ""<it's in the , it's> this is the morning . \x15"")], 'CDS': [('last week', 'your mom told me last week that you were feeling sick , are you feeling better ? \x15'), ('last', 'your mom told me last week that you were feeling sick , are you feeling better ? \x15'), ('last week', 'what was wrong last week ? \x15'), ('last', 'what was wrong last week ? \x15'), ('day', 'how was your day with the baby ? \x15'), ('day', 'oh , how was your day with Rosie ? \x15'), ('day', 'oh , so what did you and Nuirese Rosie do all day ? \x15'), ('now', 'you oh , okay , are you more awake now ? \x15'), ('while', ""she can sleep while she's in the carriage . \x15""), ('after', 'Tinkerbell , after lunch maybe we could go for a swim in the pool , what do you think ? \x15'), ('first', ""oh , his first birthday , that's special ! \x15""), ('day', 'maybe you and the other babysitter could trade off , so , half the day you could go to the parade , and the other half you could babysit . \x15'), ('now', 'now , does he like ketchup on his turkey dogs like I do ? \x15'), ('now', 'now , do you need anything to go with the turkey burgers and dogs ? \x15'), ('now', 'now , that will be twenty five dollars please . \x15'), ('today', ""Mom , what's going on with everyone today ? \x15""), ('tomorrow', 'horse , will you come to my birthday party tomorrow ? \x15'), ('today', ""oh , it's today ? \x15""), ('today', 'okay , you know what else I brought today ? \x15'), ('morning', ""&=yawns , it's six o'clock in the morning , what's all this noise ? \x15""), ('sometimes', 'of_course , I just bark sometimes . \x15'), ('today', 'teddy , can you come to my party today ? \x15'), ('first', 'maybe you can try and put his head in first , and then put his legs in . \x15')]}",Weist,en
Emma,040418.cha,52.591375770020534,1600,2424,10,4.125412541254125,2529,10,3.9541320680110714,"{'CHI': [('while', ""you can , you could slide down the slide while you're waiting . \x15""), ('while', ""while , you could slide down the slide while you're waiting . \x15""), ('while', ""while , you could slide down the slide while you're waiting . \x15""), ('while', 'you could do that while they , are you back yet guys ? \x15'), ('now', ""but now they've lost their dog Selmovich . \x15""), ('never', 'and he never came back . \x15'), ('never', 'Daddy never does yoga . \x15'), ('now', 'now let , now hang it up . \x15'), ('now', 'now let , now hang it up . \x15'), ('after', ""we'll have a party for puppy , and after Thanksgiving dinner , we'll have a party for his puppy . \x15"")], 'CDS': [('today', 'so what should we play today ? \x15'), ('last week', 'well , you had Thanksgiving last week , right ? \x15'), ('last', 'well , you had Thanksgiving last week , right ? \x15'), ('while', ""what are you gonna do while I'm gone ? \x15""), ('before', 'before all the cooking hasta start ? \x15'), ('soon', ""all right , we'll get a turkey and we'll be home soon . \x15""), ('never', 'never ? \x15'), ('morning', 'I did it in yoga class this morning . \x15'), ('already', 'I already got those when we went to the store before . \x15'), ('before', 'I already got those when we went to the store before . \x15')]}",Weist,en
Emma,030721.cha,43.68993839835729,1329,2497,34,13.616339607529035,3527,15,4.252906152537568,"{'CHI': [('sometimes', 'sometimes he jumps up ! \x15'), ('present', 'can I open my present ? \x15'), ('present', 'this is my present ! \x15'), ('now', 'now should we open this ? \x15'), ('now', ""now let's see , where is the , &-um , should we open this , with some scissors ? \x15""), ('sometimes', 'and then , I , sometimes , I throw him a ball . \x15'), ('now', 'now I hafta put . \x15'), ('sometimes', 'sometimes we go to Casadaga . \x15'), ('now', ""now let's see , now we need ta now I need ta draw again . \x15""), ('now', ""now let's see , now we need ta now I need ta draw again . \x15""), ('now', ""now let's see , now we need ta now I need ta draw again . \x15""), ('first', 'first I need . \x15'), ('soon', ""my daddy's gonna have a birthday soon . \x15""), ('sometimes', 'mm hm sometimes he he takes something from me and I cry . \x15'), ('already', 'I already know those games . \x15'), ('now', 'I think we need brown bunny for that , and now , I think we need a one of these is brown . \x15'), ('now', ""you can have that , and now , I hafta tell you here's more . \x15""), ('now', 'now my turn now . \x15'), ('now', 'now my turn now . \x15'), ('now', 'now I need . \x15'), ('now', 'now I need a red inside . \x15'), ('now', 'now I need blue outside , and I found it ! \x15'), ('now', 'now . \x15'), ('now', 'now I I need . \x15'), ('now', 'now I need blue inside this and that . \x15'), ('now', 'and now I need \x15'), ('now', '<now I> now I need this ! \x15'), ('now', '<now I> now I need this ! \x15'), ('now', 'now here . \x15'), ('now', 'now . \x15'), ('now', 'now I need . \x15'), ('now', 'orange outside , orange inside , and now I need a heart . \x15'), ('now', ""and now , here's one to you . \x15""), ('now', 'and now I need . \x15')], 'CDS': [('present', 'yeah , you can open your present . \x15'), ('first', ""so , it's like first reading . \x15""), ('before', 'I met him <before &~h> fore his wife , &-um , in nineteen eighty six . \x15'), ('now', 'you wanna tape it on right now ? \x15'), ('now', ""here's the jellyfish , now where s he go ? \x15""), ('now', ""oh , so you think he's gonna go to jail now ? \x15""), ('now', 'okay , are you gonna find that one now ? \x15'), ('this month', 'in this month ? \x15'), ('now', ""now your birthday's this summer , right ? \x15""), ('now', 'now this \x15'), ('before', ""let's try to find the one we were tryin before , like this one , remember ? \x15""), ('in a while', 'we have these arguments once in a while about colors . \x15'), ('once in a while', 'we have these arguments once in a while about colors . \x15'), ('while', 'we have these arguments once in a while about colors . \x15'), ('now', ""red , and I think it's , what do I think it is , I forgot now ? \x15"")]}",Weist,en
Emma,030912.cha,45.394250513347025,1381,1276,9,7.053291536050157,1969,24,12.188928390045708,"{'CHI': [('now', 'now .'), ('now', 'now I fixed it .'), ('tomorrow', '&-uh , tomorrow .'), ('after', 'after we go to grocery .'), ('now', 'here , how bout this be the jail house now .'), ('now', 'put him in jail now .'), ('today', 'I wanna go Casadaga today .'), ('a long time', 'no , just , a long time ago , but not too long .'), ('now', 'now , should we make another one ?')], 'CDS': [('today', 'so , tell me what you and daddy did today .'), ('in a while', ""you haven't seen him in a while ?""), ('while', ""you haven't seen him in a while ?""), ('now', ""it's too hot for wool now .""), ('sometimes', ""and they pull plows sometimes , don't they ?""), ('now', 'what are you doin now ?'), ('now', 'I got away now .'), ('now', ""now the police won't get you .""), ('while', ""&-uh oh , maybe he'll hafta ju borrow the other farm house for a little while .""), ('today', 'did you turn into a chicken today ?'), ('now', 'oh , now I see you , you lady pretender !'), ('now', 'be in the jail another nineteen years right now ?'), ('now', ""oh no , the baby monster's eating me now !""), ('now', ""alright , I'm gonna sew a big blanket now .""), ('night', 'but I have a new wool blanket to give to the farm animals , so they can stay warm at night .'), ('now', 'do you , do you wear your boots now ?'), ('before', 'have you guys ever swam before ?'), ('first', 'no , this is your first time ?'), ('last', 'you have swum there , we swam there all last summer .'), ('day', 'what day ?'), ('last week', 'and did she come here last week ?'), ('last', 'and did she come here last week ?'), ('a long time', 'was it a long time ago ?'), ('now', 'sure , you wanna make one now ?')]}",Weist,en
